Movie Title,Director,Year,Score,Cast,Consensus,Synopsis
Indiana Jones and the Last Crusade,Steven Spielberg,1989,88,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody","Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.", An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist...
Kung Fu Hustle,Stephen Chow,2004,90,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.", When the hapless Sing and his dim-witted pal Bone try to scam the residents of Pig Sty Alley into thinking...
A Better Tomorrow,John Woo,1986,93,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",No consensus yet., A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....
Iron Man,Jon Favreau,2008,94,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun."," A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him..."
The Night Comes for Us,Timo Tjahjanto,2018,91,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch."," Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family...."
Logan,James Mangold,2017,94,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."," In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote..."
Goldfinger,Guy Hamilton,1964,99,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark."," Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and..."
Assault on Precinct 13,John Carpenter,1976,96,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best."," When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way..."
Wonder Woman,Patty Jenkins,2017,93,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."," Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior...."
The Chinese Connection,Lo Wei,1972,83,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker",No consensus yet.," Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who..."
